#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
-10.0,1,3.487755
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.503855
-10.0,1,3.517485
-10.0,1,3.519491
-10.0,1,3.521496
10.0,1,3.55621
-10.0,1,3.55621
-10.0,1,3.55621
-10.0,1,3.55621
3.0,1,3.661852
-10.0,1,3.661852
-10.0,1,3.661852
-10.0,1,3.661852
-10.0,1,3.661852
10.0,1,3.677529
-10.0,1,3.677529
10.0,1,3.677529
-10.0,1,3.677529
-10.0,1,3.677529
-10.0,1,3.693345
-10.0,1,3.693345
-10.0,1,3.693345
3.0,1,3.693345
-10.0,1,3.693345
-10.0,1,3.693345
10.0,1,3.709435
-10.0,1,3.709435
3.0,1,3.709435
-10.0,1,3.709435
-10.0,1,3.724648
-10.0,1,3.724648
-10.0,1,3.724648
-10.0,1,3.724648
10.0,1,3.724648
-10.0,1,3.724648
-10.0,1,3.740631
-10.0,1,3.740631
3.0,1,3.751376
-10.0,1,3.751376
-10.0,1,3.756462
-10.0,1,3.756462
10.0,1,3.756462
-10.0,1,3.756462
-10.0,1,3.756462
-10.0,1,3.772299
-10.0,1,3.772299
10.0,1,3.772299
3.0,1,3.772299
-10.0,1,3.772299
10.0,1,3.791595
-10.0,1,3.791595
-10.0,1,3.791595
-10.0,1,3.791595
-10.0,1,3.807204
-10.0,1,3.807204
-10.0,1,3.807204
3.0,1,3.807204
-10.0,1,3.819715
-10.0,1,3.824797
-10.0,1,3.824797
-10.0,1,3.824797
-10.0,1,3.824797
-10.0,1,3.835818
-10.0,1,3.835818
3.0,1,3.835818
-10.0,1,3.851928
-10.0,1,3.851928
-10.0,1,3.851928
-10.0,1,3.851928
10.0,1,3.851928
-10.0,1,3.851928
-10.0,1,3.867977
-10.0,1,3.867977
-10.0,1,3.867977
3.0,1,3.867977
-10.0,1,3.867977
3.0,1,3.883945
-10.0,1,3.883945
-10.0,1,3.883945
-10.0,1,3.883945
-10.0,1,3.883945
-10.0,1,3.899975
-10.0,1,3.899975
-10.0,1,3.899975
-10.0,1,3.899975
-10.0,1,3.911465
-10.0,1,3.911465
-10.0,1,3.91751
-10.0,1,3.91751
-10.0,1,3.9251
10.0,1,3.9251
-10.0,1,3.931582
-10.0,1,3.931582
-10.0,1,3.9389
-10.0,1,3.9389
-10.0,1,3.9389
-10.0,1,3.9389
-10.0,1,3.947439
-10.0,1,3.947439
-10.0,1,3.947439
-10.0,1,3.947439
-10.0,1,3.96322
-10.0,1,3.96322
-10.0,1,3.96322
-10.0,1,3.96322
-10.0,1,3.96322
